Candidato,Distrito,Lista,Pacto,Partido,votacion
GONZALO EDUARDO JARA ESPINOZA,18,H,SUMEMOS,CIUDADANOS,1247
GONZALO NAVARRETE MUÃ‘OZ,9,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,13322
GONZALO VALENZUELA OYARZO,26,B,POR TODO CHILE,PROGRESISTA,1923
GONZALO WINTER ETCHEBERRY,10,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,5237
GRACIELA FILOMENA ISLA PEREZ,15,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2578
GRACIELA HAYDEE SUAREZ PEREZ,19,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1812
GRACIELA TORRES INOSTROZA,17,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1365
GREGORIO DE LA MAZA LARRAIN,22,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,6859
GREMIDIA ESTELA SAGARDIA ARIAS,8,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1156
GUIDO GONZALEZ VALENZUELA,9,M,UNION PATRIOTICA,UNION PATRIOTICA,1216
GUIDO MIRANDA ROJAS,15,M,UNION PATRIOTICA,UNION PATRIOTICA,916
GUILLERMO ARAVENA MONDACA,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1707
GUILLERMO RAMIREZ DIEZ,11,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,30731
GUILLERMO ARTURO CERONI FUENTES,18,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,8319
GUILLERMO ISMAEL ALLENDE GONZALEZ,23,B,POR TODO CHILE,PAIS,2049
GUILLERMO JARAMILLO SALAZAR,22,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,7619
GUILLERMO TEILLIER DEL VALLE,13,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,28798
GUSTAVO ALESSANDRI BALMACEDA,6,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,9893
GUSTAVO SALVO PEREIRA,25,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,5427
GUSTAVO SANHUEZA DUEÃ‘AS,19,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,15680
HARRY ROBLEDO CORTES,3,H,SUMEMOS,AMPLITUD,562
HARRY JURGENSEN RUNDSHAGEN,25,P,CHILE VAMOS,RENOVACION NACIONAL,20531
HECTOR MERIDA CESPEDES,1,G,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,349
HECTOR TICUNA VILCA,2,H,SUMEMOS,AMPLITUD,758
HECTOR ALEJANDRO ZAMORA GARCIA,4,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1194
HECTOR HERMOGENES RIVEROS VIDAL,1,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,344
HECTOR LEONARDO AGUILERA MAYORGA,26,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,848
HELGA NEUMANN CALISTO,28,P,CHILE VAMOS,EVOLUCION POLITICA,279
HENRY BERNARD VARAS CONCHA,17,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,1267
HENRY LEAL BIZAMA,23,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,11724
HERNAN JOSE MANUEL URRUTIA MILLAS,24,H,SUMEMOS,CIUDADANOS,799
HERNAN ORLANDO PINO SEGUEL,20,B,POR TODO CHILE,PROGRESISTA,2622
HILDA HORTA RIVERA,23,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2524
HORACIO BORQUEZ CONTI,19,P,CHILE VAMOS,RENOVACION NACIONAL,1904
HUGO GUTIERREZ GALVEZ,2,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,14332
HUGO REY MARTINEZ,17,P,CHILE VAMOS,RENOVACION NACIONAL,20517
HUGO CIPRIANO NORAMBUENA RODRIGUEZ,8,B,POR TODO CHILE,PROGRESISTA,1505
HUGO GUIÃ‘EZ MARDONES,19,H,SUMEMOS,AMPLITUD,1193
HUMBERTO SANHUEZA BARRIGA,9,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3861
IGNACIO LEON CUEVAS,3,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,2418
IGNACIO URRUTIA BONILLA,18,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,17739
IGOR CONTRERAS JERIA,6,H,SUMEMOS,AMPLITUD,655
INTI ELEODORO SALAMANCA FERNANDEZ,4,G,FRENTE AMPLIO,PODER,6231
IRMA DEL CARMEN TRONCOSO SAAVEDRA,7,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,1320
IRMA EDITH PEREZ LLANQUIN,13,G,FRENTE AMPLIO,ECOLOGISTA VERDE,11602
ISABEL MARGARITA LABBE MARTINEZ,14,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,1575
ISSA KORT GARRIGA,15,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,16773
IVAN CERDA ZUÃ‘IGA,23,H,SUMEMOS,AMPLITUD,1421
IVAN FIGUEROA LLONA,1,G,FRENTE AMPLIO,HUMANISTA,927
IVAN SEPULVEDA SEPULVEDA,17,G,FRENTE AMPLIO,HUMANISTA,2013
IVAN ALBERTO FLORES GARCIA,24,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,13242
IVAN FUENTES CASTILLO,13,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6642
IVAN MORAN MORAN,17,G,FRENTE AMPLIO,LIBERAL DE CHILE,3269
IVAN NORAMBUENA FARIAS,21,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,33261
IVAN PAREDES FIERRO,1,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE SOCIALISTA DE CHILE,5151
IVAN ROBERTO ROJAS OVANDO,7,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1477
IVON GUERRA AGUILERA,5,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,4272
IVONNE CECILIA SAN LUIS GONZALEZ,17,B,POR TODO CHILE,INDEPENDIENTE PAIS,1430
IVONNE LECAROS SANDOVAL,26,G,FRENTE AMPLIO,INDEPENDIENTE LIBERAL DE CHILE,1677
IVONNE MANGELSDORFF GALEB,15,P,CHILE VAMOS,RENOVACION NACIONAL,2426
JACQUELINE GUIÃ‘EZ NUÃ‘EZ,19,P,CHILE VAMOS,RENOVACION NACIONAL,10023
JAIME BELLOLIO AVARIA,14,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,32044
JAIME NARANJO ORTIZ,18,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,13390
JAIME ARAYA GUERRERO,3,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,8997
JAIME ENRIQUE FERNANDEZ MADRID,5,G,FRENTE AMPLIO,IGUALDAD,1221
JAIME FRANCISCO ESCUDERO RAMOS,12,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,4820
JAIME FUENTEALBA MALDONADO,13,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3169
JAIME MULET MARTINEZ,4,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,9393
JAIME ROBERTO ESPINOZA TOBAR,7,H,SUMEMOS,AMPLITUD,540
JAIME TOHA GONZALEZ,20,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,8145
JANETT SHIRLEY GUERRA ABURTO,3,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1692
JAVIER HERNANDEZ HERNANDEZ,25,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,16367
JAVIER MACAYA DANUS,15,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,25219
JAVIER MALDONADO CORREA,6,P,CHILE VAMOS,EVOLUCION POLITICA,2911
JAVIERA OLIVARES MARDONES,10,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,6027
JAVIERA PAZ ARIAS GUTIERREZ,24,H,SUMEMOS,CIUDADANOS,636
JAVIERA PAZ REYES JARA,13,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,4014
JAVIERA TOLEDO MUÃ‘OZ,6,G,FRENTE AMPLIO,PODER,6296
JEAN PIERRE GUTIERREZ ECHEVERRIA,7,M,UNION PATRIOTICA,UNION PATRIOTICA,608
JEANNE KATHERINE CROOCKER VILLA,6,H,SUMEMOS,AMPLITUD,826
JENNIFER VIOLETA LEIVA LABARCA,7,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1494
JENNY ALVAREZ VERA,26,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,10162
JENNY BEATRIZ RIVERA MUÃ‘OZ,22,G,FRENTE AMPLIO,HUMANISTA,2220
JESSICA ANDREA TORRES BORQUEZ,27,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,256
JOANNA PEREZ OLEA,21,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,12035
JOAQUIN LAVIN LEON,8,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,75973
JOAQUIN ARDUENGO NAREDO,15,G,FRENTE AMPLIO,HUMANISTA,2080
JOEL ANDRES GONZALEZ VEGA,6,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,7069
JOHANNA DUARTE NARVAEZ,11,B,POR TODO CHILE,PROGRESISTA,435
JOHN PARADA MONTERO,7,G,FRENTE AMPLIO,HUMANISTA,10240
JOHN MARTINEZ GALLARDO,4,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,590
JORGE BRITO HASBUN,7,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,13289
JORGE CASTRO MUÃ‘OZ,7,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,17684
JORGE COULON LARRAÃ‘AGA,7,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,12901
JORGE FREI TOLEDO,15,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2947
JORGE HIDALGO HIDALGO,4,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,2090
JORGE RATHGEB SCHIFFERLI,22,P,CHILE VAMOS,RENOVACION NACIONAL,21594
JORGE RAULD GONZALEZ,7,G,FRENTE AMPLIO,IGUALDAD,14123
JORGE ADRIAN MONSALVE VARGAS,5,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,427
JORGE ALBERTO ARROYO SALGADO,10,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,913
JORGE ALESSANDRI VERGARA,10,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,30833
JORGE ARAVENA EGAÃ‘A,12,M,UNION PATRIOTICA,UNION PATRIOTICA,779
JORGE BUSTOS MELLADO,21,G,FRENTE AMPLIO,ECOLOGISTA VERDE,3059
JORGE CALDERON NUÃ‘EZ,27,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,3098
JORGE CESPEDES POZO,17,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,7486
JORGE DURAN ESPINOZA,9,P,CHILE VAMOS,RENOVACION NACIONAL,19421
JORGE EDUARDO AGUAYO CERRO,20,B,POR TODO CHILE,PAIS,1107
JORGE EDUARDO ROSALES VARGAS,9,G,FRENTE AMPLIO,ECOLOGISTA VERDE,9087
JORGE EDUARDO SABAG VILLALOBOS,19,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,28995
JORGE EMILIO PAREDES LEIVA,28,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,314
JORGE ESTAY OLGUIN,7,M,UNION PATRIOTICA,UNION PATRIOTICA,1671
JORGE GONZALEZ CASTILLO,21,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,2936
JORGE RENAULT MANRIQUEZ,7,M,UNION PATRIOTICA,UNION PATRIOTICA,657
JORGE RENE TEJEDA ROA,25,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,3378
JORGE RUBEN CANALES GATICA,7,G,FRENTE AMPLIO,PODER,1898
JORGE ULLOA AGUILLON,20,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,15429
JOSE ANCALAO GAVILAN,23,G,FRENTE AMPLIO,HUMANISTA,3467
JOSE EGIDO ARRIOLA,7,P,CHILE VAMOS,RENOVACION NACIONAL,7966
JOSE SEGURA DIAZ,26,P,CHILE VAMOS,RENOVACION NACIONAL,4957
JOSE ALEXIS LARA FLORES,20,O,CONVERGENCIA DEMOCRATICA,MAS REGION,850
JOSE ANSELMO HIDALGO ZAMORA,12,G,FRENTE AMPLIO,INDEPENDIENTE PODER,2928
JOSE ANTONIO HENRIQUEZ MUÃ‘IZ,12,B,POR TODO CHILE,PROGRESISTA,1710
JOSE CAMPOS VELIZ,4,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,688
JOSE FRANCISCO MONTALVA FEUERHAKE,23,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,13705
JOSE GREGORIO ARGOMEDO SERRE,16,B,POR TODO CHILE,PROGRESISTA,563
JOSE IGNACIO DIAZ MALDONADO,4,O,CONVERGENCIA DEMOCRATICA,MAS REGION,178
JOSE LUIS GUZMAN FERNANDEZ,19,G,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,2106
JOSE LUIS STARK AGUILERA,14,B,POR TODO CHILE,PROGRESISTA,1669
JOSE MANUEL ARAYA ARAYA,17,B,POR TODO CHILE,PAIS,1128
JOSE MANUEL SANTANA ABURTO,25,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1012
JOSE MIGUEL CASTRO BASCUÃ‘AN,3,P,CHILE VAMOS,RENOVACION NACIONAL,5183
JOSE MIGUEL ORTIZ NOVOA,20,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,29496
JOSE PEREZ ARRIAGADA,21,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,27066
JOSE ROBERTO ABURTO BARRIA,26,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,5035
JOVINESSA MUJICA MARTINEZ,19,G,FRENTE AMPLIO,HUMANISTA,1123
JUAN ANTONIO COLOMA ALAMOS,14,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,35779
JUAN ANTONIO PEREZ MARIN,4,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,816
JUAN BENEDICTO MACAYA MIRANDA,21,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1650
JUAN CARLOS LATORRE CARMONA,16,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,10708
JUAN CARLOS MELENDEZ MACKENZIE,4,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,5347
JUAN CARLOS OLMOS CASTRO,15,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE IZQUIERDA CIUDADANA DE CHILE,2676
JUAN CARLOS SANTIBAÃ‘EZ NORAMBUENA,10,G,FRENTE AMPLIO,INDEPENDIENTE ECOLOGISTA VERDE,1373
JUAN CARLOS TOBAR SALA,24,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1067
JUAN DOMINGO VILLAVICENCIO PASTEN,14,G,FRENTE AMPLIO,HUMANISTA,2686
JUAN ENRIQUE MORANO CORNEJO,28,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3718
JUAN ENRIQUE NORAMBUENA MATUS,17,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,3031
JUAN ENRIQUE SOTO ROJAS,7,M,UNION PATRIOTICA,UNION PATRIOTICA,346
JUAN FRANCISCO CHODIMAN TORRES,22,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1600
JUAN FRANCISCO PULGAR CASTILLO,17,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,4536
JUAN HERNANDEZ MARTINEZ,8,M,UNION PATRIOTICA,UNION PATRIOTICA,916
JUAN HERRERA FUENTES,17,G,FRENTE AMPLIO,INDEPENDIENTE LIBERAL DE CHILE,1658
JUAN JOSE ARCOS SRDANOVIC,28,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,4220
JUAN LUIS CASTRO GONZALEZ,15,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,17849
JUAN MANUEL ANTONIO DIAZ MICHEA,4,G,FRENTE AMPLIO,PODER,648
JUAN MANUEL CASAS QUINTRIQUEO,13,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,915
JUAN MANUEL FUENZALIDA COBO,5,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,4331
JUAN MANUEL MANCILLA CARDENAS,28,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,554
JUAN MARROQUIN GUZMAN,2,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,1814
JUAN PABLO PAONESSA BARRIA,7,G,FRENTE AMPLIO,HUMANISTA,4785
JUAN RUBEN SANTANA CASTILLO,4,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,6245
JUANA SILVA MUÃ‘OZ,14,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,1426
JULIA TORRES MATAMALA,19,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,2131
JULIA URQUIETA OLIVARES,10,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,6459
JULIAN ALCAYAGA OLIVARES,10,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,786
JULIO IBARRA MALDONADO,16,P,CHILE VAMOS,RENOVACION NACIONAL,7900
JULIO ENRIQUE MADRID FUENTES,11,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6672
JULIO ISAMIT DIAZ,10,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,10680
JULIO MOISES ZAPATA RODRIGUEZ,5,B,POR TODO CHILE,PROGRESISTA,1183
JULIO OMAR LOBOS LOBOS,6,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,3977
KAREN PICHUNANTE CANSECO,7,H,SUMEMOS,AMPLITUD,2341
KARIM ANTONIO BIANCHI RETAMALES,28,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,4190
KARIN LUCK URBAN,11,P,CHILE VAMOS,RENOVACION NACIONAL,6879
KARIN RODRIGO BELMAR GUZMAN,15,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,5498
KARINA DELFINO MUSSA,9,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,7505
KARINA LORETTA OLIVA PEREZ,12,G,FRENTE AMPLIO,PODER,5625
KARLA JAÃ‘A VALENZUELA,12,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,1720
KARLA ANDREA MUÃ‘OZ RAMIREZ,20,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4138
KARLA BENAVIDES HENRIQUEZ,25,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5875
KAROL CARIOLA OLIVA,9,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,50446
KASSANDRA TABATTA MUÃ‘OZ AVILA,25,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,512
KATHERINE ARAYA MATUS,7,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,4587
KATHERINE MARTORELL AWAD,9,P,CHILE VAMOS,RENOVACION NACIONAL,8644
KATHERINE ROJAS PEÃ‘AILILLO,16,M,UNION PATRIOTICA,UNION PATRIOTICA,1058
KIMBERLY GREDY SEGUEL VILLAGRAN,9,G,FRENTE AMPLIO,PODER,2870
KURT HORTA CACERES,23,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,3131
LAURA SAN CRISTOBAL VASQUEZ,23,P,CHILE VAMOS,RENOVACION NACIONAL,1539
LEONARDO CONTRERAS NEIRA,7,H,SUMEMOS,AMPLITUD,1727
LEONARDO SOTO FERRADA,14,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,22170
LEONIDAS ROMERO SAEZ,20,P,CHILE VAMOS,RENOVACION NACIONAL,11414
LEOPOLDO PEREZ LAHSEN,12,P,CHILE VAMOS,RENOVACION NACIONAL,29984
LESLIE DIAZ SILVA,15,M,UNION PATRIOTICA,UNION PATRIOTICA,354
LILIAN DEL CARMEN QUILAQUEO SOZA,11,B,POR TODO CHILE,PROGRESISTA,932
LILIAN KARINA CANCINO HENRIQUEZ,18,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,1803
LILIAN TAMARA UNDA ESCALONA,17,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,971
LILY OÃ‘ATE MUÃ‘OZ,20,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,2295
LISETTE HEDWIG BOSSHARD PEÃ‘A,16,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,490
LISSETTE GODOY ANTIQUEO,23,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2138
LIZET DE LOS ANGELES BRIONES PEREZ,6,G,FRENTE AMPLIO,INDEPENDIENTE PODER,2609
LORENA ARELLANO NAVARRO,18,B,POR TODO CHILE,PROGRESISTA,1388
LORENA JIMENEZ WATT,1,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,720
LORENA PATRICIA BUSTAMANTE MEDINA,12,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,2197
LORENA PIZARRO SIERRA,8,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,12137
LORETO SEGUEL KING,13,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,8502
LORETO LETELIER BARRERA,9,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2002
LORETO MUÃ‘OZ GUTIERREZ,20,G,FRENTE AMPLIO,HUMANISTA,3778
LUCAS BLASET PEREZ,7,H,SUMEMOS,AMPLITUD,491
LUCIA RIVERA HAUENSTEIN,11,M,UNION PATRIOTICA,UNION PATRIOTICA,561
LUCIANO CRUZ-COKE CARVALLO,10,P,CHILE VAMOS,EVOLUCION POLITICA,38143
LUIS ABARCA AZOCAR,25,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,2572
LUIS LEMUS ARACENA,5,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,10469
LUIS QUIJADA LLANCAS,7,M,UNION PATRIOTICA,UNION PATRIOTICA,523
LUIS ACEVEDO QUINTANILLA,13,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1443
LUIS ALBERTO ACUÃ‘A CASTILLO,4,G,FRENTE AMPLIO,INDEPENDIENTE PODER,1087
LUIS CAMPOS LEAL,23,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3879
LUIS CAPRIOGLIO RABELLO,3,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,5667
LUIS FELIPE VERGARA MALDONADO,26,H,SUMEMOS,CIUDADANOS,403
LUIS GUILLERMO SCHWAIGER RIVERA,24,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,935
LUIS LARRAIN STIEB,10,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,8303
LUIS MARIANO RENDON ESCOBAR,12,G,FRENTE AMPLIO,INDEPENDIENTE PODER,2416
LUIS PARDO SAINZ,6,P,CHILE VAMOS,RENOVACION NACIONAL,15725
LUIS ROCAFULL LOPEZ,1,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,6430
LUIS SOTO PEREZ,6,G,FRENTE AMPLIO,IGUALDAD,4736
LUISA PARRA CASTRO,11,M,UNION PATRIOTICA,UNION PATRIOTICA,706
MABEL LUCILA ZUÃ‘IGA VALENCIA,7,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,9268
MACARENA DONOSO ROJAS,13,P,CHILE VAMOS,RENOVACION NACIONAL,14865
MACARENA PARRA PARRA,8,M,UNION PATRIOTICA,UNION PATRIOTICA,1238
MACARENA ALEJANDRA AGUSTO RODRIGUEZ,20,O,CONVERGENCIA DEMOCRATICA,MAS REGION,800
MACARENA ZAPATA MARMOLEJO,16,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1243
MAGALLANES ESPINOSA BERTRAN,5,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,4478
MAITE ORSINI PASCAL,9,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,21814
MANUEL SANCHEZ LOYOLA,2,H,SUMEMOS,INDEPENDIENTE TODOS,432
MANUEL ANTONIO CARDENAS CANCINO,6,H,SUMEMOS,AMPLITUD,995
MANUEL DAVID LOPEZ CARTES,20,B,POR TODO CHILE,PROGRESISTA,1234
MANUEL EDUARDO BELLO NUÃ‘EZ,19,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,11114
MANUEL ENRIQUE MUÃ‘OZ PALACIOS,8,B,POR TODO CHILE,PROGRESISTA,2229
MANUEL JOSE MATTA ARAGAY,18,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,12825
MANUEL MONSALVE BENAVIDES,21,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,19632
MANUEL RIESCO LARRAIN,6,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,3237
MANUELA ALEJANDRA VELOSO DORNER,11,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,6451
MARCELA SABAT FERNANDEZ,10,P,CHILE VAMOS,RENOVACION NACIONAL,54630
MARCELA ALEJANDRA GARRIDO ISLA,24,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,561
MARCELA CANALES HIPP,12,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4191
MARCELA GEOVANNA CONCHA VILLANUEVA,8,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,4158
MARCELA GUTIERREZ GARCES,6,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,3074
MARCELA SANDOVAL OSORIO,8,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,11927
MARCELA XIMENA HERNANDO PEREZ,3,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,14817
MARCELA YAÃ‘EZ BRAVO,11,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,987
MARCELO DIAZ DIAZ,7,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,15265
MARCELO RIOSECO PAIS,17,G,FRENTE AMPLIO,HUMANISTA,2358
MARCELO OMAR CHAVEZ VELASQUEZ,20,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,13853
MARCELO SCHILLING RODRIGUEZ,6,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,20072
